Function,Parent_Selection,Survival_Selection,Combination,Generation,Average_BSF,Average_Avg_Fit
function_1_sphere,binary_tournament,truncation,binary_tournament__truncation,18,0.02058867,0.02148832
function_1_sphere,binary_tournament,truncation,binary_tournament__truncation,19,0.00578372,0.01943874
function_1_sphere,binary_tournament,truncation,binary_tournament__truncation,20,0.00577146,0.01556935
function_1_sphere,binary_tournament,truncation,binary_tournament__truncation,21,0.00421751,0.00946949
function_1_sphere,binary_tournament,truncation,binary_tournament__truncation,22,0.00421751,0.00742249
function_1_sphere,binary_tournament,truncation,binary_tournament__truncation,23,0.0037588,0.00508136
function_1_sphere,binary_tournament,truncation,binary_tournament__truncation,24,0.00359225,0.00435944
function_1_sphere,binary_tournament,truncation,binary_tournament__truncation,25,0.00319887,0.00392222
function_1_sphere,binary_tournament,truncation,binary_tournament__truncation,26,0.00278522,0.00328326
function_1_sphere,binary_tournament,truncation,binary_tournament__truncation,27,0.00276005,0.00310052
function_1_sphere,binary_tournament,truncation,binary_tournament__truncation,28,0.00276005,0.0029272
function_1_sphere,binary_tournament,truncation,binary_tournament__truncation,29,0.00276005,0.00279645
function_1_sphere,binary_tournament,truncation,binary_tournament__truncation,30,0.00276005,0.00276875
function_1_sphere,binary_tournament,truncation,binary_tournament__truncation,31,0.00274596,0.00275933
function_1_sphere,binary_tournament,truncation,binary_tournament__truncation,32,0.00274596,0.00275056
function_1_sphere,binary_tournament,truncation,binary_tournament__truncation,33,0.00274596,0.00274681
function_1_sphere,binary_tournament,truncation,binary_tournament__truncation,34,0.00274596,0.00274643
function_1_sphere,binary_tournament,truncation,binary_tournament__truncation,35,0.00274595,0.00274607
function_1_sphere,binary_tournament,truncation,binary_tournament__truncation,36,0.00274595,0.00274595
function_1_sphere,binary_tournament,truncation,binary_tournament__truncation,37,0.00274595,0.00274595
function_1_sphere,binary_tournament,truncation,binary_tournament__truncation,38,0.00274595,0.00274595
function_1_sphere,binary_tournament,truncation,binary_tournament__truncation,39,0.00274595,0.00274595
function_1_sphere,binary_tournament,truncation,binary_tournament__truncation,40,0.00274595,0.00274595
function_1_sphere,fps,binary_tournament,fps__binary_tournament,1,1.74031405,8.55464454
function_1_sphere,fps,binary_tournament,fps__binary_tournament,2,0.94190344,4.32759206
function_1_sphere,fps,binary_tournament,fps__binary_tournament,3,0.83075695,2.91157899
function_1_sphere,fps,binary_tournament,fps__binary_tournament,4,0.82196287,2.22975082
function_1_sphere,fps,binary_tournament,fps__binary_tournament,5,0.54958525,1.80809337
function_1_sphere,fps,binary_tournament,fps__binary_tournament,6,0.51954563,1.46170721
function_1_sphere,fps,binary_tournament,fps__binary_tournament,7,0.4325121,1.07868353
function_1_sphere,fps,binary_tournament,fps__binary_tournament,8,0.43166313,0.76844916
function_1_sphere,fps,binary_tournament,fps__binary_tournament,9,0.41634999,0.69687168
function_1_sphere,fps,binary_tournament,fps__binary_tournament,10,0.39165539,0.64853212
function_1_sphere,fps,binary_tournament,fps__binary_tournament,11,0.34032463,0.58332482
function_1_sphere,fps,binary_tournament,fps__binary_tournament,12,0.29656968,0.53299603
function_1_sphere,fps,binary_tournament,fps__binary_tournament,13,0.27323785,0.4640949
function_1_sphere,fps,binary_tournament,fps__binary_tournament,14,0.25503492,0.42029475
function_1_sphere,fps,binary_tournament,fps__binary_tournament,15,0.25481329,0.38511558
function_1_sphere,fps,binary_tournament,fps__binary_tournament,16,0.18301923,0.34590921
function_1_sphere,fps,binary_tournament,fps__binary_tournament,17,0.18186621,0.31821142
function_1_sphere,fps,binary_tournament,fps__binary_tournament,18,0.18186621,0.30624897
function_1_sphere,fps,binary_tournament,fps__binary_tournament,19,0.17189454,0.2924173
function_1_sphere,fps,binary_tournament,fps__binary_tournament,20,0.16199952,0.27078187
function_1_sphere,fps,binary_tournament,fps__binary_tournament,21,0.12787948,0.24699587
function_1_sphere,fps,binary_tournament,fps__binary_tournament,22,0.12787541,0.23415327
function_1_sphere,fps,binary_tournament,fps__binary_tournament,23,0.12784606,0.22722906
function_1_sphere,fps,binary_tournament,fps__binary_tournament,24,0.12784606,0.20696083
function_1_sphere,fps,binary_tournament,fps__binary_tournament,25,0.10049534,0.18242621
function_1_sphere,fps,binary_tournament,fps__binary_tournament,26,0.07399386,0.15132497
function_1_sphere,fps,binary_tournament,fps__binary_tournament,27,0.04441216,0.1196356
function_1_sphere,fps,binary_tournament,fps__binary_tournament,28,0.04439974,0.10850837
function_1_sphere,fps,binary_tournament,fps__binary_tournament,29,0.04439974,0.09499242
function_1_sphere,fps,binary_tournament,fps__binary_tournament,30,0.03988053,0.08199871
function_1_sphere,fps,binary_tournament,fps__binary_tournament,31,0.03630601,0.07587072
function_1_sphere,fps,binary_tournament,fps__binary_tournament,32,0.03405439,0.06826246
function_1_sphere,fps,binary_tournament,fps__binary_tournament,33,0.02148643,0.06080701
function_1_sphere,fps,binary_tournament,fps__binary_tournament,34,0.01614489,0.04844425
function_1_sphere,fps,binary_tournament,fps__binary_tournament,35,0.01264188,0.04056572
function_1_sphere,fps,binary_tournament,fps__binary_tournament,36,0.01131459,0.03460476
function_1_sphere,fps,binary_tournament,fps__binary_tournament,37,0.00805785,0.02725476
function_1_sphere,fps,binary_tournament,fps__binary_tournament,38,0.00419003,0.02361261
function_1_sphere,fps,binary_tournament,fps__binary_tournament,39,0.00153517,0.01828162
function_1_sphere,fps,binary_tournament,fps__binary_tournament,40,0.00153488,0.01896459
function_1_sphere,fps,truncation,fps__truncation,1,0.92426534,3.20334662
function_1_sphere,fps,truncation,fps__truncation,2,0.33495079,1.05535148
function_1_sphere,fps,truncation,fps__truncation,3,0.27892993,0.57421519
function_1_sphere,fps,truncation,fps__truncation,4,0.21389588,0.34037887
function_1_sphere,fps,truncation,fps__truncation,5,0.16955935,0.25695914
function_1_sphere,fps,truncation,fps__truncation,6,0.13676433,0.21622314
function_1_sphere,fps,truncation,fps__truncation,7,0.11042538,0.18276758
function_1_sphere,fps,truncation,fps__truncation,8,0.09483185,0.15525534
function_1_sphere,fps,truncation,fps__truncation,9,0.09409395,0.13506728
function_1_sphere,fps,truncation,fps__truncation,10,0.06290848,0.10995212
function_1_sphere,fps,truncation,fps__truncation,11,0.06178522,0.08944284
function_1_sphere,fps,truncation,fps__truncation,12,0.06101204,0.07625301
function_1_sphere,fps,truncation,fps__truncation,13,0.05874486,0.06699424
function_1_sphere,fps,truncation,fps__truncation,14,0.03747069,0.05882078
function_1_sphere,fps,truncation,fps__truncation,15,0.02798563,0.0436021
function_1_sphere,fps,truncation,fps__truncation,16,0.02022328,0.0362068
function_1_sphere,fps,truncation,fps__truncation,17,0.01878507,0.02934674
function_1_sphere,fps,truncation,fps__truncation,18,0.01125406,0.02166818
function_1_sphere,fps,truncation,fps__truncation,19,0.00647658,0.01681436
function_1_sphere,fps,truncation,fps__truncation,20,0.00644871,0.01420077
function_1_sphere,fps,truncation,fps__truncation,21,0.00644232,0.01179363
function_1_sphere,fps,truncation,fps__truncation,22,0.00514021,0.00886109
function_1_sphere,fps,truncation,fps__truncation,23,0.00513969,0.00643052
function_1_sphere,fps,truncation,fps__truncation,24,0.0039018,0.00542072
function_1_sphere,fps,truncation,fps__truncation,25,0.00390163,0.00494519
function_1_sphere,fps,truncation,fps__truncation,26,0.0035212,0.00430478
function_1_sphere,fps,truncation,fps__truncation,27,0.00345164,0.0036218
function_1_sphere,fps,truncation,fps__truncation,28,0.00345163,0.00348131
function_1_sphere,fps,truncation,fps__truncation,29,0.00344643,0.00346175
function_1_sphere,fps,truncation,fps__truncation,30,0.00344643,0.00345729
function_1_sphere,fps,truncation,fps__truncation,31,0.00344065,0.00345192
function_1_sphere,fps,truncation,fps__truncation,32,0.00342054,0.00343953
