Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,555.71676962,708.86910423,743.90812072,1397.887683,628.1397861,594.85600373,631.78822658,698.28337273,835.5109164,643.84716063,743.88071437
5,899.66315171,900.70572939,743.90812072,1900.52493666,675.82377683,860.67944054,710.76437849,698.28337273,1002.98466548,1090.1379614,948.3475534
10,901.00133759,900.73400578,743.90812072,2177.3419379,780.84890392,900.95593073,851.33872285,801.51319023,2037.57938962,2005.40104669,1210.0622586
15,901.00133759,900.93190911,793.70761704,2508.78499569,900.09189541,901.00096767,901.00151781,852.44475557,2265.35149074,2501.0,1342.53164866
20,901.00133759,901.00073575,876.08003309,2508.8895372,900.99850787,901.0010736,901.00151781,900.19255578,2265.35149074,2501.0,1355.65167894
25,901.00133759,901.00073575,900.86896187,2509.0,900.99850787,901.00109497,901.00151781,900.96728943,2383.20258325,2501.0,1370.00420285
30,901.00133759,901.00073575,900.9981431,2509.0,900.99850787,901.00109497,901.00151781,900.96728943,2509.0,2501.0,1382.59686265
35,901.00133759,901.00073575,900.99995788,2509.0,900.99850787,901.00109497,901.00151781,900.96728943,2509.0,2501.0,1382.59704413
40,901.00133759,901.00073575,901.00056824,2509.0,900.99850787,901.00109497,901.00151781,900.96728943,2509.0,2501.0,1382.59710517
