Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,255.32711978,667.49962137,677.61039787,230.94271104,560.51644093,368.28765373,349.34709531,380.15295568,156.40528808,240.98069354,388.70699774
5,927.17169907,2172.52608311,869.20285906,591.92002317,1729.61032899,719.68741029,634.04669129,1629.13254682,309.3636603,651.58423762,1023.42455397
10,1605.3069904,2481.53429443,897.82478985,755.02076571,2267.50009895,896.22195558,885.62229169,2083.64863624,469.55166753,811.69346079,1315.39249511
15,1917.37875933,2509.0,900.96848362,893.0464063,2493.70442677,900.94826336,900.67421279,2444.73425994,647.0547025,899.18567151,1450.66951861
20,2288.49350248,2484.625,900.98599037,900.5113887,2509.0,901.00023791,900.8740346,2507.78090135,853.59426146,900.93556337,1514.78008802
25,2482.03438722,2509.0,900.98665998,900.95683992,2509.0,901.0016398,900.87403812,2508.9725832,873.71489103,900.98105991,1538.75220992
30,2484.43633182,2509.0,893.87208805,900.97635292,2509.0,901.00166158,900.87403812,2484.625,896.73871656,900.98336712,1538.15075562
35,2508.98898747,2509.0,886.61185413,900.97659897,2509.0,901.0016657,896.743359,2509.0,899.89691468,900.98353637,1542.22029163
40,2508.99892169,2484.625,897.42923421,900.97660053,2509.0,901.00166619,896.743359,2509.0,900.0277477,897.11652107,1540.49190504
