Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,323.41637709,371.56431144,186.26719249,692.60692167,304.02785882,155.50088593,342.02628431,298.52846894,351.20632163,263.67178592,328.88164082
5,827.61936403,774.33303784,283.92557191,1679.20113542,612.10968708,691.46669268,614.46561602,584.49845316,811.37024584,468.16645441,734.71562584
10,896.30462802,880.83050863,434.38542795,2032.91736117,739.83435178,884.3398244,783.11179517,730.71271819,1551.11670635,1557.39002637,1049.0943348
15,901.0005491,891.08509199,543.00255339,2401.98291374,836.02267595,886.60974567,877.53094649,800.86750185,1806.10208479,2306.50374942,1225.07078124
20,901.00133759,900.99874862,770.94161247,2498.42641056,899.04353613,901.00100306,900.9904256,869.74025865,2117.87062175,2501.0,1326.10139544
25,897.2758881,901.00067214,891.39800594,2509.0,900.99850787,901.0010741,900.9939529,885.61579759,2259.95739638,2501.0,1354.8241295
30,901.00133759,901.00072768,892.37214917,2509.0,900.99850787,897.32657081,900.99398279,900.18324523,2323.84673168,2501.0,1362.77232528
35,897.2758881,900.22376353,897.33776912,2509.0,900.99850787,901.0010782,900.99398279,900.21226804,2488.43153183,2306.615625,1360.20904145
40,893.59200629,901.00072774,900.99893308,2509.0,897.22755153,901.0010782,900.99398279,897.57612703,2508.95694672,2501.0,1381.13473534
