Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,456.21409956,352.69515648,249.75977288,593.18131893,1178.37580707,476.41085465,480.63042878,150.25983292,562.55760984,476.90172019,497.69866013
5,1587.0147643,577.70620811,566.70556762,2029.22277794,1990.01744632,849.30707155,837.35848549,334.20389275,2092.16536772,1261.6032866,1212.53048684
10,2284.35000984,1021.51957394,957.65550767,2228.67135399,2425.15410027,900.75064505,900.97337193,553.71175904,2476.59825723,1876.41306523,1562.57976442
15,2502.49700931,1331.80916464,1423.26357276,2496.29397015,2501.0,900.98891544,901.00088386,816.74633627,2509.0,2236.67282053,1761.9272673
20,2509.0,1675.8438711,1865.48344873,2501.0,2501.0,901.00147791,901.00088386,900.60795633,2509.0,2508.97857664,1877.29162146
25,2509.0,2193.63910776,2041.70360154,2501.0,2501.0,901.00166758,901.00088386,901.00155642,2509.0,2509.0,1946.73468172
30,2509.0,2501.0,2400.77286828,2501.0,2501.0,901.00166944,901.00088386,901.00166942,2509.0,2509.0,2013.3777091
35,2509.0,2501.0,2509.0,2501.0,2501.0,901.00166945,901.00088386,901.00166943,2509.0,2509.0,2024.20042227
40,2509.0,2501.0,2509.0,2501.0,2501.0,901.00166945,901.00088386,901.00166943,2509.0,2509.0,2024.20042227
