Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,352.41571862,250.0420449,418.61166846,592.34739714,593.4124713,345.6207389,340.56752398,1008.88741944,766.52035483,487.74158848,515.61669261
5,932.04095616,623.9356223,882.18869631,1988.58799146,851.70542617,871.87310033,574.1936393,1996.78334767,2262.06892526,901.86162485,1188.52393298
10,1259.68296654,848.25287146,900.95847408,2501.0,889.319828,1875.86919391,886.00162743,2289.86942356,2509.0,1442.93762263,1540.28920076
15,1481.85193149,900.87408736,901.00164872,2501.0,900.29913322,2461.44252529,900.70190859,2501.0,2509.0,1722.39903415,1677.95702688
20,1837.31956735,900.98998977,901.00166754,2501.0,900.49447517,2509.0,900.71743926,2501.0,2509.0,2150.24897111,1761.07721102
25,2365.98866384,900.9899937,901.00166755,2501.0,900.50429198,2509.0,900.71743926,2501.0,2509.0,2503.65122015,1849.28532765
30,2509.0,900.9899937,901.00166755,2501.0,900.50429198,2509.0,900.71743926,2501.0,2509.0,2509.0,1864.12133925
35,2509.0,900.9899937,901.00166755,2501.0,900.50429198,2509.0,900.71743926,2501.0,2509.0,2509.0,1864.12133925
40,2509.0,900.9899937,901.00166755,2501.0,900.50429198,2509.0,900.71743926,2501.0,2509.0,2509.0,1864.12133925
