Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,784.5128922,1901.15722149,817.7063095,572.6420305,1529.47472008,682.89297642,656.55303728,1130.54118472,325.57245023,671.24465557,907.2297478
5,1105.46594843,2383.07460566,890.29901683,692.30739228,2002.46752774,857.13202509,782.51950288,1941.79330818,380.78506809,778.39947905,1181.42438742
10,1791.27486265,2509.0,900.9868197,896.29531939,2509.0,900.99982933,900.86810988,2363.5036875,540.65177077,895.26226159,1420.78426608
15,2204.57090399,2509.0,900.9868197,897.86249512,2509.0,901.00165878,900.98154179,2506.45495522,797.48660563,900.98353763,1502.83285178
20,2464.59916465,2509.0,900.9868197,901.00166681,2509.0,901.00166823,900.98154179,2509.0,896.64024581,900.98353763,1539.31946446
25,2509.0,2509.0,900.9868197,901.00166681,2509.0,901.00166944,900.98154179,2509.0,896.64024581,900.98353763,1543.75954812
30,2509.0,2509.0,900.9868197,901.00166681,2509.0,901.00166944,900.98154179,2509.0,900.12663337,900.98353763,1544.10818687
35,2509.0,2509.0,900.9868197,901.00166681,2509.0,901.00166944,900.98154179,2509.0,900.12663337,900.98353763,1544.10818687
40,2509.0,2509.0,900.9868197,901.00166681,2509.0,901.00166944,900.98154179,2509.0,900.12663337,900.98353763,1544.10818687
