Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,745.77678542,458.70420664,281.17211499,554.40833059,123.97821233,395.33011141,422.52512022,466.83142691,558.22220079,491.55967745,449.85081867
5,1359.24874006,1010.0270588,1084.84186772,1125.7984747,397.92499966,870.59283802,718.94968937,1471.06350543,1949.06221254,1027.86961684,1101.53790031
10,1996.21962807,1594.3073091,2086.37178794,1833.49329847,625.74444066,900.3610516,1239.21504354,1846.2226903,2295.75531574,1965.83472676,1638.35252922
15,2491.08842037,1890.20035947,2498.4802109,2303.40072179,832.25616924,894.56861522,2090.65465084,2011.21574255,2490.169568,2276.42346266,1977.8457921
20,2484.5593695,2110.86764335,2509.0,2473.58035137,900.81243177,893.58465074,2470.92575272,2371.12445308,2507.35272546,2465.00958524,2118.68169632
25,2508.99852734,2421.83684942,2509.0,2500.52911827,893.58538563,900.84210456,2506.92695177,2499.65598736,2483.72322156,2498.89943619,2172.39975821
30,2509.0,2495.64472824,2509.0,2500.99507837,900.99645619,897.34965073,2508.91714409,2500.69118986,2423.89106323,2508.5519988,2175.50373095
35,2509.0,2391.37635345,2509.0,2500.99999854,897.37931336,900.9994833,2484.61947527,2501.0,2509.0,2508.92093754,2171.22955614
40,2509.0,2500.98506573,2509.0,2501.0,900.99645858,897.34982291,2508.99955035,2501.0,2509.0,2508.99932798,2184.63302256
