Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,397.59727786,481.12462619,399.07127745,1061.81870205,866.1723039,457.3032752,328.63514476,363.83708791,873.06288221,431.34511529,565.99676928
5,1572.9811855,900.6119682,835.45122919,2179.06073097,2001.03380229,1646.71143841,1460.32690148,949.48380154,1927.70838874,888.15965734,1436.15291037
10,2255.96924447,900.99873447,1197.3114968,2508.16586266,2500.82332117,1878.25181744,1920.93710748,1306.34144493,2366.64323552,900.63338041,1773.60756454
15,2508.13865147,900.99874207,1852.24081414,2509.0,2509.0,2501.0,2485.000763,1881.74829222,2501.0,900.88277685,2054.90100398
20,2509.0,900.99874207,2408.38952648,2509.0,2509.0,2501.0,2501.0,2492.67279572,2501.0,900.88277685,2173.29438411
25,2509.0,900.99874207,2501.0,2509.0,2509.0,2501.0,2501.0,2509.0,2501.0,900.88277685,2184.18815189
30,2509.0,900.99874207,2501.0,2509.0,2509.0,2501.0,2501.0,2509.0,2501.0,900.88277685,2184.18815189
35,2509.0,900.99874207,2501.0,2509.0,2509.0,2501.0,2501.0,2509.0,2501.0,900.88277685,2184.18815189
40,2509.0,900.99874207,2501.0,2509.0,2509.0,2501.0,2501.0,2509.0,2501.0,900.88277685,2184.18815189
