Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,1725.69052052,1458.19344236,1079.65895306,1934.81555819,308.65618926,875.63189146,772.80905068,1180.41674954,2130.5951084,1034.41085814,1250.08783216
5,1900.62760802,1596.80301449,2166.49183756,1934.81555819,466.58686916,899.94318645,1008.17143125,1660.97335963,2204.43340051,1549.22198278,1538.8068248
10,2509.0,1798.60379646,2456.13370607,2092.27890949,825.22563965,900.78746597,1541.62574406,2180.26130372,2509.0,2215.58251683,1902.84990823
15,2509.0,1978.91302003,2509.0,2459.25701104,900.99667275,900.78746597,2411.71430968,2206.28188348,2509.0,2509.0,2089.39503629
20,2509.0,2205.79821821,2509.0,2500.69205634,900.99667275,900.9994833,2509.0,2500.37707145,2509.0,2509.0,2155.38635021
25,2509.0,2501.0,2509.0,2501.0,900.99667275,900.9994833,2509.0,2500.37707145,2509.0,2509.0,2184.93732275
30,2509.0,2501.0,2509.0,2501.0,900.99667275,900.9994833,2509.0,2501.0,2509.0,2509.0,2184.99961561
35,2509.0,2501.0,2509.0,2501.0,900.99667275,900.9994833,2509.0,2501.0,2509.0,2509.0,2184.99961561
40,2509.0,2501.0,2509.0,2501.0,900.99667275,900.9994833,2509.0,2501.0,2509.0,2509.0,2184.99961561
