Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,669.73266927,759.45985152,600.28857446,1428.45052057,1448.47600622,622.28290199,477.91607575,671.30890622,1157.55291917,751.14699045,858.66154156
5,1915.41851775,900.93195703,1022.17936624,2445.25183173,2206.35037002,1850.05230265,1893.91802356,955.22786586,2129.70384248,894.25827789,1621.32923552
10,2485.62817548,900.99874207,1339.3408817,2508.57379383,2509.0,1879.41657848,2121.95978057,1472.89012168,2366.64323552,900.88277685,1848.53340862
15,2509.0,900.99874207,1942.73796718,2509.0,2509.0,2501.0,2501.0,2103.05237749,2501.0,900.88277685,2087.76718636
20,2509.0,900.99874207,2408.38952648,2509.0,2509.0,2501.0,2501.0,2509.0,2501.0,900.88277685,2174.92710454
25,2509.0,900.99874207,2501.0,2509.0,2509.0,2501.0,2501.0,2509.0,2501.0,900.88277685,2184.18815189
30,2509.0,900.99874207,2501.0,2509.0,2509.0,2501.0,2501.0,2509.0,2501.0,900.88277685,2184.18815189
35,2509.0,900.99874207,2501.0,2509.0,2509.0,2501.0,2501.0,2509.0,2501.0,900.88277685,2184.18815189
40,2509.0,900.99874207,2501.0,2509.0,2509.0,2501.0,2501.0,2509.0,2501.0,900.88277685,2184.18815189
