Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,922.13550625,496.524668,876.36284513,1963.14637945,842.43401981,1031.27751022,523.46391209,1525.95823525,2095.02792091,928.98333162,1120.53143287
5,1059.3445497,678.89666215,897.2349,2333.61247098,861.69453857,1231.10961547,671.86555789,2126.24932974,2439.28346209,1203.07335468,1350.23644412
10,1356.36846346,900.08566686,900.99582353,2501.0,900.19168779,2047.5720315,900.13246294,2501.0,2509.0,1468.14806857,1598.44942047
15,1546.15105345,900.9899937,901.00166755,2501.0,900.50429198,2509.0,900.71743926,2501.0,2509.0,1881.53367776,1705.08981237
20,1963.21623342,900.9899937,901.00166755,2501.0,900.50429198,2509.0,900.71743926,2501.0,2509.0,2299.8420514,1788.62716773
25,2509.0,900.9899937,901.00166755,2501.0,900.50429198,2509.0,900.71743926,2501.0,2509.0,2508.99205663,1864.12054491
30,2509.0,900.9899937,901.00166755,2501.0,900.50429198,2509.0,900.71743926,2501.0,2509.0,2509.0,1864.12133925
35,2509.0,900.9899937,901.00166755,2501.0,900.50429198,2509.0,900.71743926,2501.0,2509.0,2509.0,1864.12133925
40,2509.0,900.9899937,901.00166755,2501.0,900.50429198,2509.0,900.71743926,2501.0,2509.0,2509.0,1864.12133925
