Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,39.26516796,30.31755223,32.75810134,31.48524327,24.14300161,24.86429934,33.19584665,29.01516936,49.47645779,26.74274911,32.12635887
5,45.4876605,33.64028859,35.11885216,33.17476128,25.03838555,25.4558353,34.23805863,33.3873982,49.47645779,29.88462678,34.49023248
10,50.0,37.97773208,42.85866915,38.55159764,25.46390788,30.59931422,37.94055791,35.57590281,49.98986981,32.41811168,38.13756632
15,50.0,43.61338082,46.64719676,40.36297913,26.28634727,33.19213742,41.79451061,37.33018969,50.0,34.04824435,40.3274986
20,50.0,48.10290023,49.97481341,44.34728431,27.15618246,35.28868325,49.71637038,40.09287815,50.0,35.61475934,43.02938715
25,50.0,50.0,50.0,49.78633744,29.88223042,39.76181958,50.0,45.14739822,50.0,37.30627433,45.188406
30,50.0,50.0,50.0,50.0,32.02842916,45.6294013,50.0,48.6833666,50.0,42.9983966,46.93395937
35,50.0,50.0,50.0,50.0,34.8806493,48.30586935,50.0,50.0,50.0,48.27326798,48.14597866
40,50.0,50.0,50.0,50.0,37.31967112,50.0,50.0,50.0,50.0,50.0,48.73196711
