Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,22.25466144,22.21311234,18.89855311,16.21003562,28.68469409,25.46057793,24.12312641,19.43063192,28.5010053,21.05514052,22.68315387
5,29.35456172,26.7000556,32.21413085,26.7299442,45.9719653,41.61767982,35.89590396,36.2623745,38.47406075,27.5024357,34.07231124
10,35.00573375,31.56057231,38.39606993,29.79431608,48.92237181,45.97590096,42.13116903,41.36893309,42.67258461,31.70929806,38.75369496
15,42.25935479,36.84223053,41.94553119,31.53875204,50.0,47.02152611,45.13173854,45.41428993,47.56860585,37.1393698,42.48613988
20,45.4314625,42.37195451,46.94342326,33.68565952,50.0,49.42252275,49.56265585,47.38131792,49.99865778,39.86505473,45.46627088
25,49.29413087,46.23595223,49.94670817,37.96414094,50.0,49.99991584,50.0,49.9079213,50.0,41.07234428,47.44211136
30,49.98254605,49.53382978,49.99968853,42.50177713,50.0,50.0,50.0,50.0,50.0,47.15678922,48.91746307
35,49.9999297,50.0,50.0,46.18981838,50.0,50.0,50.0,50.0,50.0,49.87244518,49.60621933
40,50.0,50.0,50.0,49.90879674,50.0,50.0,50.0,50.0,50.0,50.0,49.99087967
