Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,40.47505292,46.82316797,34.26796839,23.43710289,48.77679838,39.92697126,31.02461055,32.95502013,40.02816222,26.8704554,36.45853101
5,41.45715926,47.79059062,36.0203543,26.50195758,48.77679838,39.92697126,31.02461055,32.95502013,40.02816222,30.31186274,37.47934871
10,45.14723288,50.0,36.63842693,28.28959647,50.0,42.50120513,34.29833734,34.76570728,42.14458144,33.9992341,39.77843216
15,48.94460449,50.0,38.54198733,30.05270144,50.0,46.6820895,36.10470881,38.23043537,46.21571814,37.3315466,42.21037917
20,49.99224296,50.0,42.50975232,31.24393043,50.0,49.88999358,41.17005235,40.11161864,50.0,39.92226265,44.48398529
25,50.0,50.0,46.01183606,34.59839082,50.0,50.0,44.13618864,42.949738,50.0,43.31045569,46.10066092
30,50.0,50.0,50.0,35.74695538,50.0,50.0,49.76046366,45.09632497,50.0,48.58817988,47.91919239
35,50.0,50.0,50.0,38.42073186,50.0,50.0,50.0,49.87435948,50.0,50.0,48.82950913
40,50.0,50.0,50.0,39.76551602,50.0,50.0,50.0,50.0,50.0,50.0,48.9765516
