Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,24.69389096,17.53379537,21.00319266,14.06340705,16.71802903,18.53439546,20.17326854,21.38089912,24.81624671,9.84106806,18.8758193
5,40.10615221,33.72495072,32.28757365,14.76308117,25.71889641,28.76317202,26.51675706,42.26816724,31.47830317,16.4707248,29.20977785
10,48.03688498,40.96743965,36.05953992,22.2767144,26.49159239,31.97650785,30.38448053,47.2153161,38.27349268,23.23979951,34.4921768
15,49.75625,44.24350817,37.94239762,26.58212742,27.65587633,34.19210301,32.41587098,49.29153302,43.76949286,25.27154588,37.11207053
20,49.75625,48.60031551,39.99387867,28.13031945,29.16122211,36.07979647,34.99000758,49.99991613,48.326111,25.71705205,39.0754869
25,49.75625,49.51527818,42.89033355,29.99992245,30.82537888,38.50903449,36.61417529,50.0,49.80609772,25.92701442,40.3843485
30,50.0,49.75582664,47.00118116,31.32846944,32.35246529,39.72635622,38.95277424,50.0,49.99693289,27.15913885,41.62731447
35,50.0,50.0,49.55951781,32.44034064,33.67658041,42.33367984,41.84789762,50.0,49.99993242,28.61811317,42.84760619
40,50.0,50.0,49.99739906,34.62913498,34.56331956,45.42335076,45.1296011,49.75625,50.0,29.98987393,43.94889294
