Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,46.02138369,41.91121439,33.70145235,22.69607581,25.66577367,31.08180261,27.57920289,41.74644262,44.02707586,25.67027977,34.01007037
5,46.02138369,41.91121439,35.40334104,22.69607581,26.13625563,31.09649298,27.57920289,45.65722584,44.02707586,25.67027977,34.61985479
10,49.88136831,42.96265742,37.72325872,24.69945842,27.02568432,33.69992795,31.26085091,48.80675267,44.02707586,25.67027977,36.57573144
15,50.0,47.02276223,40.27651728,28.05859858,28.56027931,35.29139106,33.66573814,49.99950003,45.47789626,25.67027977,38.40229627
20,50.0,49.94064549,42.10732742,29.03452456,30.04306114,38.61727151,35.26875613,50.0,49.77528014,26.41413472,40.12010011
25,50.0,50.0,44.44474392,30.41115558,32.07017895,40.14035239,38.52928722,50.0,50.0,26.41413472,41.20098528
30,50.0,50.0,49.99999552,32.81121707,33.44282671,40.93321008,40.52499561,50.0,50.0,27.68174822,42.53939932
35,50.0,50.0,49.99999679,33.5562595,34.93715276,44.8695377,43.99332952,50.0,50.0,29.56657461,43.69228509
40,50.0,50.0,50.0,34.92067365,35.98521648,46.92155918,48.60107333,50.0,50.0,31.21421458,44.76427372
