Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,19.31168307,18.43880604,26.98062222,24.59382561,25.12539127,22.89731866,25.83263235,20.09717139,23.22834638,20.78054548,22.72863425
5,28.4835525,24.75213061,35.78346418,29.35436339,39.35577193,37.35315687,31.25719331,23.2049953,46.56634819,27.05627564,32.31672519
10,29.74616389,26.44419112,44.12809476,32.78747283,45.71453425,42.70782696,38.93978136,27.63626822,49.97333198,34.54112231,37.26187877
15,31.02768345,28.16248581,47.09924376,35.72409144,47.82116135,45.43004118,44.3199708,29.16328034,49.99990783,39.52969775,39.82775637
20,34.82660194,29.59802095,49.46249048,38.33824107,49.7995689,49.15812852,48.17892284,31.10895552,50.0,43.079997,42.35509272
25,37.59767894,32.15587509,49.99784479,41.67032159,49.99954761,49.99975556,49.77372746,32.98041695,50.0,44.6960641,43.88712321
30,41.19864681,35.16055508,50.0,47.85640276,50.0,50.0,49.98757696,34.12324936,50.0,49.35403516,45.76804661
35,45.7614778,38.85520538,50.0,49.86061768,50.0,49.75625,49.99932548,39.17347366,49.75625,50.0,47.31626
40,48.69296523,41.97383185,50.0,49.93644327,50.0,50.0,49.99997605,42.57977596,50.0,50.0,48.31829924
