Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,24.3196187,25.58604463,21.34254486,22.55063521,21.03370044,19.84888917,26.90087795,25.87324865,27.17290952,23.32930144,23.79577706
5,43.13738948,31.01061545,33.95527416,30.94173318,24.95880539,24.66122149,33.29818038,31.83587856,46.82745088,27.70594481,32.83324938
10,49.00277043,36.01326246,41.39544338,37.23692536,25.21651801,28.76121441,37.10833922,34.35044293,49.85857717,31.62418285,37.05676762
15,50.0,41.90768323,45.21811794,40.09843198,25.94979265,32.1706136,41.44317375,36.26307723,49.999888,33.98572474,39.70365031
20,50.0,45.68563505,49.49160649,43.39728472,27.09189068,34.8324307,46.90154605,38.61256406,50.0,34.90238533,42.09153431
25,50.0,48.81766821,49.98684753,48.06373889,28.85825055,37.47900694,49.98909752,43.46901949,50.0,37.16917631,44.38328054
30,50.0,50.0,50.0,49.99810036,30.88092028,41.63985339,50.0,48.23392992,50.0,41.48237738,46.22351813
35,50.0,50.0,50.0,50.0,33.71188187,47.72865605,50.0,50.0,50.0,46.25465806,47.7695196
40,50.0,50.0,50.0,50.0,36.29782405,49.94527547,50.0,50.0,50.0,50.0,48.62430995
