Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,27.30206901,27.51445133,44.83949831,35.0456413,41.334276,36.12284412,39.9475967,27.68324809,46.6764371,32.50494677,35.89710087
5,29.73912577,27.51445133,44.83949831,35.05952053,44.41682849,40.54552201,39.9475967,29.67395876,47.99134834,34.75728713,37.44851374
10,30.89998404,27.51445133,46.43890846,36.37695381,48.33517886,45.16970649,40.9635991,29.67395876,50.0,37.5982336,39.29709745
15,32.17697818,28.63078737,48.65503304,37.57397609,49.66679156,47.5796017,46.88433369,30.36536382,50.0,41.52989313,41.30627586
20,36.09588611,30.53050071,50.0,41.38383669,50.0,50.0,48.76880276,32.23786259,50.0,45.59076265,43.46076515
25,38.66554291,33.64749704,50.0,45.76318521,50.0,50.0,50.0,33.85477362,50.0,45.60009378,44.75310926
30,44.56839032,36.41477051,50.0,50.0,50.0,50.0,50.0,35.65870625,50.0,50.0,46.66418671
35,48.14816381,40.67437481,50.0,50.0,50.0,50.0,50.0,39.17347366,50.0,50.0,47.79960123
40,50.0,44.61563932,50.0,50.0,50.0,50.0,50.0,45.38312478,50.0,50.0,48.99987641
