Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,29.55263684,26.32414605,32.04750864,26.11921984,46.03930525,38.22645276,36.33469279,33.30273197,39.23151452,26.82369247,33.40019011
5,31.86330206,27.52349917,35.51539454,28.55145261,47.52083138,43.79709256,36.33469279,37.82212232,40.08675036,28.08232291,35.70974607
10,37.58351753,33.42427791,39.5565242,29.98184181,49.97972428,46.02299552,44.29716703,42.57405552,44.83176774,32.79306398,40.10449355
15,44.51001577,39.12198997,43.53689749,32.56025754,50.0,48.37823292,45.82738864,46.64391747,49.81606667,38.74322035,43.91379868
20,47.12624287,44.3732614,49.94078686,34.77600346,50.0,50.0,50.0,49.03291712,50.0,40.53851429,46.5787726
25,49.95791284,49.04199891,50.0,39.93279377,50.0,50.0,50.0,49.99971858,50.0,42.93549015,48.18679143
30,49.99416584,50.0,50.0,44.178616,50.0,50.0,50.0,50.0,50.0,47.42052146,49.15933033
35,50.0,50.0,50.0,46.77301386,50.0,50.0,50.0,50.0,50.0,50.0,49.67730139
40,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
