Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,25.19388458,22.81331622,28.68286401,15.48807303,29.43865646,23.00511814,19.33463664,12.85952599,24.27372663,14.79400284,21.58838045
5,28.90454073,40.50888125,33.29484715,24.61846042,47.19025672,36.41048945,23.39388564,19.26826896,25.66845508,25.98422502,30.52423104
10,42.59825918,49.32857324,35.29552342,27.07011049,47.82744868,40.79575218,30.95400657,32.48894892,40.43695926,31.53276475,37.83283467
15,46.87859316,50.0,37.94012088,29.33738212,49.99893091,44.87075379,34.19231778,35.85413841,44.6274582,35.17334685,40.88730421
20,49.68132778,50.0,40.78465662,31.12394218,49.75625,48.45900828,39.50569778,38.57715982,46.89885586,38.2867157,43.3073614
25,49.98179647,50.0,43.93004023,32.31393086,50.0,49.96095089,42.10463896,41.22037104,49.0814655,41.15624761,44.97494416
30,49.9978179,50.0,49.27725823,34.59405108,50.0,50.0,47.38862452,43.63301512,49.66664598,46.02857486,47.05859877
35,49.51249976,50.0,49.99981667,37.07104031,50.0,49.75625,49.73674903,47.92895611,49.73973848,49.64244811,48.33874985
40,50.0,49.75625,50.0,38.73919505,49.75625,50.0,49.75625,49.92393577,49.99799411,50.0,48.79298749
