Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,38.25762213,35.8195359,16.2605995,29.30889068,42.47582612,19.8390945,33.4573512,39.3922705,31.06812535,30.3629585,31.62422744
5,41.88229469,38.82803713,17.52371999,30.10831833,44.70625225,24.34165019,37.56103831,45.22961785,36.87480095,34.80385899,35.18595887
10,45.55548977,42.88391617,22.11526756,34.0610567,50.0,27.65322454,42.28820887,49.41287881,42.60627591,41.52392347,39.81002418
15,50.0,50.0,27.18941467,36.95205578,50.0,30.1906828,45.68062884,50.0,48.58498958,43.66402662,43.22617983
20,50.0,50.0,30.91312484,42.70031759,50.0,35.74729681,50.0,50.0,50.0,50.0,45.93607392
25,50.0,50.0,38.33559175,47.0049058,50.0,39.27560381,50.0,50.0,50.0,50.0,47.46161014
30,50.0,50.0,44.36870389,50.0,50.0,41.22725732,50.0,50.0,50.0,50.0,48.55959612
35,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
40,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
