Generation,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Average
1,29.90182078,26.8896359,12.08412645,20.51719445,27.88595365,18.36145884,22.0483448,27.35590379,25.51901131,25.63449372,23.61979437
5,40.08742649,37.69443524,16.59390464,30.09459077,44.6179057,21.88516184,35.66373496,43.85983613,34.67257314,33.12838123,33.82979501
10,43.79968108,42.79179939,21.53848843,33.38442116,48.54692046,26.83798799,40.40771334,49.41287881,40.57036572,38.84577928,38.61360356
15,49.63318734,49.94926297,25.64530922,36.92463196,50.0,29.93372463,44.41342705,50.0,47.95695006,42.90223334,42.73587266
20,50.0,50.0,30.75753325,42.52526045,50.0,34.32830866,49.93780671,50.0,50.0,50.0,45.75489091
25,50.0,50.0,37.41602822,46.99458811,50.0,39.27560381,50.0,50.0,50.0,50.0,47.36862201
30,50.0,50.0,42.44450886,50.0,50.0,41.22725732,50.0,50.0,50.0,50.0,48.36717662
35,50.0,50.0,49.41334522,50.0,50.0,47.80044356,50.0,50.0,50.0,50.0,49.72137888
40,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
